@id,@lon,@lat,name,addr:street,addr:city,addr:country
48911846,-8.1542983,52.4714226,Tipperary,,,
48911958,-8.2016740,52.4957475,Limerick Junction,,,
48912064,-8.2205203,52.5087396,Monard,,,
48912092,-8.2266878,52.5123464,Monard,,,
49272095,-6.4627075,54.0707896,Border NI/ROI,,,
49272762,-7.3373042,54.1166265,Border NI/ROI,,,
49305598,-6.2368608,53.3055697,Clonskeagh,,,
49487001,-6.0645964,54.4933562,Blaris,,,
49533833,-5.9238345,54.6503588,Greencastle,,,
49542877,-5.9212352,54.6030649,York Street Interchange,,,
49543036,-5.9311762,54.6075380,Clifton Street,,,
49543115,-5.9382656,54.6028084,Divis Street,,,
49543387,-5.9547517,54.5910505,Broadway,,,
50756794,-5.9710486,54.6923522,Corr's Corner,,,
51452792,-6.2366886,53.2860688,Balally,,,
51452839,-6.2101538,53.2793978,Stillorgan,,,
51452916,-6.2626171,53.3333651,Harcourt,,,
51452944,-6.2613147,53.3390566,St. Stephen's Green,,,
51995744,-6.1971705,53.2582951,Ballyogan,,,
52218167,-8.3261110,51.9811110,Shanballyreagh,,,
52218173,-9.6879656,51.6076765,Gortnakilly,,,
52218190,-6.5572291,52.9902632,Seskin,,,
52218195,-7.9755560,53.3966670,Carrickynaghtan,,,
52218198,-9.2207207,53.6227775,Ballinrobe,,,
52218204,-8.7386110,52.3383330,Killare,,,
52218206,-6.9202780,53.8755560,The Hollow,,,
52218208,-8.5561110,52.2080560,Promore,,,
52218209,-7.4166651,54.9666650,Kildrum,,,
52218213,-9.4900000,52.5250000,Shrone,,,
52218223,-9.8783330,53.3161110,Ard,,,
52218226,-8.4450070,51.8772254,Tramore,,,
52218229,-6.6380560,53.9725000,Essexford,,,
52218233,-9.9372220,51.9872220,Neesha,,,
52218244,-6.2119101,52.8924644,Connary Upper,,,
52218247,-7.5094440,53.3986110,Toortisnamore,,,
52218253,-8.4533330,51.9277780,Lahardane,,,
52218256,-8.3833330,53.9000000,Breedoge,,,
52218258,-9.7998913,51.4675229,Caher,,,
52218262,-6.4995248,52.9139141,Mullan Cross Roads,,,
52218263,-8.7502780,53.9588890,Cloonmeen West,,,
52218264,-9.2941670,52.9847220,Kilshanny,,,
52218265,-9.8644109,52.2766382,Fenit,,,
52218266,-6.3486621,53.6454553,Bellewstown,,,
52218267,-9.9336110,54.1725000,Srah,,,
52218269,-8.6253546,52.0779760,Jordan’s Bridge,,,
52218270,-6.5402780,53.9361110,Mullacrew,,,
52218271,-9.6491745,53.0996703,Iaráirne,,,
52218272,-6.9929735,53.2203302,Rathangan,,,
52218273,-8.2541670,54.8183330,Meenadeeny,,,
52218274,-8.6994434,54.7475984,Port,,,
52218275,-6.8084763,52.3027794,Tiannarath Cross Roads,,,
52218276,-8.4365125,54.8232881,Kilclooney,,,
52218278,-9.4897249,52.3972499,Pike Cross Roads,,,
52218279,-9.3461110,54.1633330,Belville,,,
52218280,-7.7329147,54.8686057,Aughagault Little,,,
52218281,-7.3999831,52.1724382,Ballylaneen,,,
52218283,-7.9744012,52.1811956,Feagarrid,,,
52218284,-6.9811110,52.9438890,Kilmorony,,,
52218285,-9.2036110,54.1916670,Tawnaghmore,,,
52218286,-8.3597378,54.9506729,An Clochán Liath,,,
52218287,-6.9593554,54.3407498,Emyvale,,,
52218288,-6.9752780,54.1211110,Lisgillan,,,
52218291,-8.7883330,53.9450000,Bracklagh,,,
52218292,-8.8844440,53.9855560,Cloonfinish,,,
52218293,-8.6333330,54.6333330,Rosborough,,,
52218295,-9.7427281,54.1444001,Bangor,,,
52218297,-7.0525723,52.4317914,Tullagher,,,
52218298,-9.6354075,53.7790044,Murrisk,,,
52218300,-9.1041670,53.9322220,Aghaward,,,
52218301,-6.9155741,52.3299736,Aughclare,,,
52218302,-7.2552780,53.9455560,Cargagh,,,
52218303,-8.3107336,53.2100537,Eskerboy,,,
52218304,-8.0963890,55.0838890,Cashelnagor,,,
52218305,-8.9352744,51.6530170,Letter,,,
52218307,-8.2272976,55.2649716,An Baile Thiar,,,
52218308,-8.7383330,52.9161110,Uggoon,,,
52218309,-6.1540035,52.7982210,Arklow,,,
52218310,-7.8928826,53.0792290,Crinkill,,,
52218311,-8.7883330,51.7927780,Old Port House,,,
52218312,-9.9872173,54.2241100,Béal an Mhuirthead,,,
52218313,-9.2794484,52.1833357,Knocknaboul Cross,,,
52218314,-7.1817029,52.9231434,Knocklead,,,
52218315,-8.3144440,54.4269440,Park,,,
52218316,-10.0681327,51.8606441,Oughtiv,,,
